epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,2185.11,1.12103,0.62909,1.18311,0.83666,0.87002,0.92586,0.59627,1.36133,0.7175,1.37841,0.000102862,0.000102862,0.000102862
108,2205.37,1.13118,0.64475,1.20507,0.80853,0.88168,0.92382,0.59795,1.35822,0.72062,1.38107,9.87659e-05,9.87659e-05,9.87659e-05
109,2225.56,1.11151,0.63817,1.18237,0.85867,0.85801,0.92885,0.59102,1.36422,0.69529,1.39399,9.47376e-05,9.47376e-05,9.47376e-05
110,2245.92,1.11684,0.63076,1.20248,0.83885,0.86069,0.92843,0.59889,1.36171,0.7001,1.3973,9.07784e-05,9.07784e-05,9.07784e-05
111,2266.3,1.10604,0.62412,1.18603,0.82594,0.8874,0.92153,0.58595,1.36796,0.71896,1.38202,8.68902e-05,8.68902e-05,8.68902e-05
112,2286.49,1.09819,0.61982,1.17597,0.84608,0.87786,0.92566,0.59528,1.36911,0.70414,1.38392,8.30746e-05,8.30746e-05,8.30746e-05
113,2306.93,1.11217,0.60191,1.17754,0.81528,0.89885,0.92739,0.59777,1.37114,0.71181,1.38243,7.93333e-05,7.93333e-05,7.93333e-05
114,2327.09,1.09927,0.61524,1.16976,0.84879,0.86772,0.92855,0.60007,1.36122,0.69928,1.38362,7.5668e-05,7.5668e-05,7.5668e-05
115,2347.34,1.09619,0.61044,1.17595,0.84939,0.84542,0.92288,0.59481,1.36207,0.71596,1.37731,7.20803e-05,7.20803e-05,7.20803e-05
116,2367.54,1.10095,0.6227,1.1762,0.83921,0.88359,0.92475,0.5927,1.36444,0.70887,1.39057,6.85717e-05,6.85717e-05,6.85717e-05
117,2387.74,1.08535,0.61001,1.1689,0.84278,0.87981,0.92696,0.59006,1.37372,0.72001,1.39436,6.51437e-05,6.51437e-05,6.51437e-05
118,2408.11,1.09388,0.60564,1.17067,0.8172,0.87405,0.92559,0.59986,1.36317,0.71034,1.37903,6.1798e-05,6.1798e-05,6.1798e-05
119,2428.48,1.08287,0.59892,1.16964,0.86759,0.8416,0.92979,0.5929,1.372,0.71418,1.37697,5.85359e-05,5.85359e-05,5.85359e-05
120,2448.76,1.09254,0.60594,1.17126,0.85522,0.85496,0.92464,0.6009,1.37216,0.70195,1.39012,5.53588e-05,5.53588e-05,5.53588e-05
